,413FM0J_sample001,YA4JE89_sample001,AI8K1H6_sample002,GM30XFD_sample003,YA4JE89_sample002,JD32HPP_sample005,AI8K1H6_sample001,413FM0J_sample002,128T8B4_sample025,UYX1M7A_sample004,2I1Y0Z9_sample001,2I1Y0Z9_sample002,Z9UVZX7_sample001,ZF8WDFS_sample005,0QJ6J2T_sample001,314Z52D_sample001,P7IG2M6_sample001,77SHGAG_sample002,77SHGAG_sample001,3RGFT20_sample004,IYRVLF5_sample001,H84559E_sample004,7F3ZM3T_sample001,F27B011_sample001,C5J912G_sample001,P7IG2M6_sample002,ERUH8Y4_sample001,Q15VFHB_sample002,3WR61X3_sample001,1KEQR84_sample002,91W7C88_sample003,K5LA59U_sample002,JD32HPP_sample003,1KEQR84_sample001,Z9UVZX7_sample004,IYRVLF5_sample002,I9178W9_sample001,GM30XFD_sample002,Z9UVZX7_sample002,5OCQITY_sample001,Q15VFHB_sample001,K5LA59U_sample001,2DZJ8RE_sample002,50RWL61_sample002,O697I0L_sample001,BV5W979_sample001,50RWL61_sample003,BV5W979_sample003,H84559E_sample001,UYX1M7A_sample003,JD32HPP_sample002,LPHTEXM_sample001,C18HPI3_sample003,H84559E_sample003,1KEQR84_sample003,BV5W979_sample002,UYX1M7A_sample005,3CA9B3H_sample001,K5LA59U_sample003,ZF8WDFS_sample007,GM30XFD_sample001,9M7H5EI_sample001,UYX1M7A_sample002,2DZJ8RE_sample001,91W7C88_sample002,Q15VFHB_sample004,128T8B4_sample029,50RWL61_sample001,C18HPI3_sample001,C18HPI3_sample002,BYPLWTE_sample001,IO8L3WL_sample001,JD32HPP_sample004,37F102B_sample001,7UV42I3_sample001,U05HLZY_sample001,37F102B_sample002,3RGFT20_sample001,ZF8WDFS_sample004,LPHTEXM_sample002,91W7C88_sample001,UYX1M7A_sample001,2W5JG33_sample080,91W7C88_sample004,JD32HPP_sample001,U05HLZY_sample002,O3F124I_sample001,BV5W979_sample004
ZNF266_M07641_2.00,0,0,0,0,45,0,0,17,0,0,0,20,0,0,0,0,0,0,0,0,34,0,0,42,36,0,41,0,0,0,0,0,0,0,0,32,37,0,0,32,0,0,29,0,0,0,30,0,0,0,0,15,0,0,0,0,0,41,0,0,0,62,0,34,0,0,0,0,0,0,5,38,0,63,30,32,0,0,0,21,0,0,0,0,0,0,0,0
MXI1_MXI1_HUMAN.H11MO.0.A,0,0,29,0,81,0,0,37,0,0,0,0,0,0,28,0,0,70,0,0,0,0,6,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,72,0,46,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,19,0
EBF3_MA1637.1,0,63,22,0,55,0,0,22,0,0,0,29,0,0,12,26,30,28,0,33,42,0,0,0,0,24,0,0,0,0,0,0,0,0,0,42,33,0,0,43,0,0,41,0,45,0,0,0,0,0,0,0,0,0,50,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,9,38,0,0,0,0,50,0,0,0,0,0,0,0,0,39,10,0
ZNF667_M07737_2.00,0,0,0,0,87,0,0,30,0,0,44,0,0,0,22,44,56,62,0,0,0,0,0,81,88,0,68,0,31,0,0,0,0,0,0,0,69,0,0,55,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,127,0,0,0,0,0,0,0,0,0,85,0,0,50,0,0,0,0,0,0,0,0,0,0,0,19,0
REST_M07852_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,47,0,0,38,0,0,5,65,79,0,70,0,25,0,0,0,0,0,0,0,70,0,0,58,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,108,0,0,0,37,0,0,0,0,0,69,0,0,66,53,0,0,0,0,0,0,0,0,0,0,22,0
ELK4_M08112_2.00,0,0,11,0,32,0,0,0,0,0,0,13,0,0,0,16,0,20,0,18,0,0,0,27,22,19,20,0,0,0,0,0,0,0,0,0,27,0,0,22,0,0,29,0,27,0,23,0,0,0,0,0,0,40,34,0,0,17,24,0,40,40,0,0,0,23,0,0,0,0,0,26,0,0,16,33,47,0,0,0,0,0,0,0,0,32,8,0
ZN264_ZN264_HUMAN.H11MO.0.C,0,0,0,0,47,0,0,0,0,0,0,15,0,0,11,0,22,27,0,0,44,0,0,54,42,0,41,0,0,0,0,0,0,0,0,41,38,0,0,0,0,0,0,0,43,0,0,0,0,0,0,17,0,0,0,0,0,37,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,24,0,0,0,0,0,34,10,0
TF7L2_TF7L2_HUMAN.H11MO.0.A,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,15,8,0,0,25,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,24,0,0,0,0,0,19,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,18,3,0
IRF7_IRF7_HUMAN.H11MO.0.C,0,20,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,18,0,0,10,13,15,14,0,0,16,0,0,0,0,13,0,16,0,0,13,0,0,21,0,11,0,0,0,0,19,0,0,35,0,0,0,0,13,0,0,0,15,0,27,0,22,0,0,0,0,0,15,17,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0
CTCF_M07888_2.00,0,0,0,0,0,0,66,0,0,0,0,0,0,0,40,50,0,0,0,67,0,0,23,78,74,0,72,0,41,0,0,0,0,0,0,0,76,0,0,74,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,87,0,0,0,0,0,0,0,0,0,65,0,0,59,51,0,0,0,0,0,0,0,0,0,59,28,0
IKZF1_MA1508.1,0,52,13,0,0,0,0,26,0,0,19,0,0,0,16,23,41,39,0,34,0,0,0,32,37,0,33,0,9,0,0,0,0,0,0,0,33,0,0,31,0,0,52,0,29,0,0,0,0,0,0,0,0,0,43,0,0,34,0,0,0,49,0,0,0,0,0,0,0,0,7,39,0,0,19,42,0,0,0,0,0,0,0,0,0,0,0,0
SREBF1_MA0595.1,0,31,0,0,0,0,15,13,0,0,0,0,0,0,0,0,15,0,29,15,31,0,0,33,16,0,17,0,13,0,0,0,0,0,0,0,16,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,38,0,29,0,15,0,0,0,0,0,25,0,0,17,16,0,0,0,0,0,0,0,0,0,0,9,0
ZNF74_M07675_2.00,0,0,2,0,0,0,0,0,0,0,7,4,0,0,0,14,0,7,0,13,27,0,0,11,11,0,18,0,0,0,0,0,0,0,0,26,11,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,18,10,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,21,0,0,0,0,0,0,0,0
ZNF528_M08328_2.00,21,0,5,0,20,0,6,13,0,0,11,0,0,0,0,0,0,15,0,0,0,0,0,0,21,0,23,0,0,0,0,0,0,0,0,0,21,0,0,11,0,0,0,0,21,12,0,0,0,0,0,0,0,0,24,0,0,19,0,0,0,0,0,0,0,0,0,0,28,33,0,17,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0
ZNF574_M08239_2.00,0,0,0,0,87,0,0,50,0,0,0,0,0,0,24,28,43,76,0,0,0,0,7,60,68,0,63,0,28,0,0,0,0,0,0,91,57,0,0,67,0,0,0,0,56,0,0,0,0,0,0,35,0,109,0,0,0,59,0,0,0,106,0,0,0,48,0,0,0,0,18,80,0,0,42,0,0,0,0,0,0,0,0,0,0,0,20,0
JUN_M07836_2.00,18,23,0,0,26,0,9,11,0,0,0,0,0,0,7,11,23,12,0,17,27,0,0,14,23,23,20,0,4,0,0,0,0,0,0,0,17,0,0,19,0,0,13,0,23,16,12,0,0,0,0,10,0,45,0,0,0,12,0,0,0,33,0,0,0,18,0,0,0,0,0,19,0,0,18,21,0,0,0,0,0,0,0,0,0,0,0,0
RELB_MA1117.1,14,0,0,0,0,0,8,0,0,0,7,0,0,0,0,8,0,0,0,10,19,0,0,18,22,0,18,0,0,0,0,0,0,0,0,0,14,0,0,16,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0,0,0,0,17,0,12,0,0,0,0,0,21,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
MYF6_MYF6_HUMAN.H11MO.0.C,0,0,0,0,0,0,11,8,0,0,14,0,0,0,0,0,0,18,0,14,0,0,0,18,33,0,32,0,0,0,0,0,0,0,0,0,29,0,0,21,0,0,20,0,23,0,0,0,0,0,0,0,0,0,30,0,0,21,0,0,0,46,0,0,0,23,0,0,0,0,0,35,0,0,23,24,0,0,0,0,0,0,0,0,0,0,0,0
ATF3_M08187_2.00,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,8,0,20,19,20,0,0,0,18,15,0,16,0,7,0,0,0,0,0,0,0,23,0,0,15,0,0,0,7,18,15,0,0,0,0,0,15,0,0,19,0,0,12,0,0,0,27,0,0,19,18,0,0,0,0,0,19,0,0,0,23,32,0,0,0,0,0,0,0,0,0,0,0
ZNF547_M07600_2.00,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAFF_M08074_2.00,0,0,0,0,25,0,16,20,0,0,0,0,0,0,0,23,30,0,0,0,30,0,0,37,18,28,24,0,0,0,0,0,0,0,0,21,15,0,0,26,0,0,38,0,35,0,18,0,0,0,0,0,0,0,0,0,0,32,0,0,28,46,0,0,0,28,0,0,0,39,0,34,0,0,25,0,0,0,0,0,0,0,0,0,0,0,9,0
Z354A_Z354A_HUMAN.H11MO.0.C,0,0,0,0,35,0,16,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,30,31,49,38,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,54,0,0,53,0,0,0,0,0,0,0,0,0,35,0,0,0,87,0,0,0,75,0,0,0,0,0,0,0,0
FOXP2_FOXP2_HUMAN.H11MO.0.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,0,6,0,10,0,13,0,0,0,0,0,0,0,0,7,0,15
PRDM9_MA1723.1,0,0,0,0,0,0,0,192,0,0,0,0,0,0,99,136,0,0,0,336,0,0,0,253,260,0,251,0,174,0,0,0,0,0,0,0,264,0,0,201,0,0,326,0,285,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,387,0,0,0,0,0,0,0,0,49,277,0,0,193,263,0,0,0,0,0,0,0,0,0,0,131,0
FOXA1_M07962_2.00,0,0,3,0,17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,0,0,0,0,0,0,0,0,0,0,0
ZNF382_M07608_2.00,0,0,0,0,0,0,0,0,0,0,18,22,0,0,0,0,0,32,0,0,0,0,0,0,36,0,41,0,0,0,0,0,0,0,0,38,39,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,16,0
NFKB2_NFKB2_HUMAN.H11MO.0.B,0,38,0,29,0,0,0,15,0,0,0,15,0,0,6,21,0,0,0,18,0,0,0,26,27,0,33,0,12,0,0,0,0,0,0,0,21,0,0,24,0,0,0,0,28,0,0,0,0,0,0,12,0,0,0,0,0,30,0,0,0,43,0,0,0,15,0,0,0,0,0,21,0,0,0,28,0,0,0,0,0,0,0,0,0,22,9,0
ZNF354A_M08331_2.00,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,5,18,32,0,0,13,0,0,0,0,0,0,0,0
ZBTB14_M08387_2.00,0,0,0,0,27,0,0,0,0,0,11,16,0,0,8,8,18,0,0,22,0,0,6,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,21,0,0,0,0,0,0,0,0,20,19,0,0,0,20,23,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,0,0,0,0,0,0,0,17,0,10,0
ZNF736_M07767_2.00,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
ZNF695_M07724_2.00,17,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,14,0,14,21,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,10,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
SPI1_M07946_2.00,0,0,0,0,0,0,31,0,0,0,0,0,0,0,26,54,82,0,0,0,0,0,11,74,79,0,80,0,0,0,0,0,0,0,0,0,73,0,0,67,0,0,75,0,68,0,0,0,0,0,0,46,0,0,0,0,0,57,0,0,0,103,0,0,0,0,0,0,0,0,0,76,0,0,51,0,0,0,0,0,0,0,0,0,0,0,20,0
ZNF467_M08260_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,239,252,0,230,0,170,0,0,0,0,0,0,0,246,0,0,194,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,384,0,0,0,0,0,0,0,0,64,245,0,0,168,0,0,0,0,0,0,0,0,0,0,0,136,0
ZNF41_M08245_2.00,0,0,23,0,0,0,0,25,0,0,19,18,0,0,10,0,0,38,0,31,48,0,0,50,38,0,0,0,14,0,0,0,0,0,0,0,37,0,0,37,0,0,47,0,45,0,0,0,0,0,0,35,0,0,43,0,0,28,0,0,0,0,0,53,0,0,0,0,0,0,0,49,0,0,25,38,73,0,0,0,0,0,0,0,0,33,0,0
CEBPA_M08076_2.00,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,0
ZNF71_M08383_2.00,0,0,79,0,0,0,0,113,0,0,0,0,0,0,50,105,0,200,0,178,0,0,12,163,192,0,167,0,77,0,0,0,0,0,0,0,192,0,0,164,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,264,0,0,0,0,0,0,0,0,35,186,0,0,108,174,324,0,0,0,0,0,0,0,0,0,60,0
CREM_CREM_HUMAN.H11MO.0.C,0,21,9,0,0,0,9,0,0,0,0,0,0,0,5,0,0,16,18,15,0,0,0,17,21,0,13,0,6,0,0,0,0,0,0,18,18,0,0,16,0,0,12,0,15,11,0,19,0,0,0,0,0,34,21,0,0,13,0,0,0,23,0,0,21,17,0,0,0,0,0,21,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
ZNF680_MA1729.1,0,0,0,0,25,0,14,14,0,0,0,0,0,0,0,18,20,0,29,31,31,0,0,30,23,0,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,22,0,0,0,0,22,0,0,0,0,0,23,0,0,0,28,0,0,0,0,0,0,0,0,0,39,0,0,0,29,0,0,0,0,0,0,0,0,0,0,10,0
ATF3_M07822_2.00,0,0,0,0,20,0,6,9,0,0,9,9,0,0,3,14,14,14,14,0,0,0,2,12,12,0,18,0,5,16,0,17,0,0,0,0,14,26,0,10,0,15,0,0,14,0,0,0,0,0,0,0,0,28,18,0,0,8,0,0,0,21,0,24,0,17,0,0,18,0,0,15,0,0,15,19,26,0,0,13,12,0,0,0,0,20,0,0
ZFP42_MA1651.1,0,0,0,0,52,0,30,30,0,0,0,0,0,0,25,33,0,0,0,0,0,0,13,54,46,0,37,0,20,0,0,0,0,0,0,64,48,0,0,38,0,0,0,0,52,0,0,0,0,0,0,25,0,0,0,0,0,46,0,0,0,77,0,0,0,0,0,0,0,61,0,46,0,0,27,38,63,0,0,0,0,0,0,0,0,0,20,0
CTCFL_M08089_2.00,0,0,60,0,0,0,73,50,0,0,0,0,0,0,37,36,0,0,0,68,0,0,23,83,95,0,77,0,58,0,0,0,0,0,0,0,79,0,0,87,0,0,0,0,75,0,0,0,0,0,0,54,0,124,0,0,0,85,0,0,0,109,0,0,0,56,0,0,0,0,34,77,0,0,55,63,0,0,0,0,0,0,0,0,0,0,38,0
OLIG2_OLIG2_HUMAN.H11MO.0.B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,0,74,0,0,0,0,6,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,31,0
SRF_M07983_2.00,0,14,0,0,0,0,4,17,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,22,0,0,21,0,0,0,0,0,0,0,16,15,0,0,0,17,0,0,22,10,0,0,18,0,0,0,0,0,0,0,0,0,0,20,0,0,17,34,0,0,26,0,0,0,0,0,0,0,0,0,10,0,33,0,0,17,0,0,0,0,0,0,0,0
ZNF84_M07736_2.00,0,0,0,0,0,0,0,68,0,0,0,0,0,0,20,79,0,0,0,0,0,0,8,125,106,0,107,0,44,0,0,0,0,0,0,0,115,0,0,109,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,183,0,0,0,0,0,0,0,0,0,111,0,0,89,100,187,0,0,0,0,0,0,0,0,0,22,0
NKX28_NKX28_HUMAN.H11MO.0.C,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,9,0,0,0
MEF2A_M08212_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,0,0
ZNF33B_M07710_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
EGR1_M07928_2.00,0,176,100,0,0,0,0,0,0,0,0,66,0,0,38,47,0,165,0,124,86,0,0,77,98,0,71,0,85,0,0,0,0,0,0,0,87,0,0,75,0,0,89,0,88,0,0,0,0,0,0,0,0,161,0,0,0,63,0,0,0,0,0,0,0,101,0,0,0,0,30,89,0,0,54,0,0,0,0,0,0,0,0,0,0,114,53,0
GABPA_MA0062.3,0,0,17,0,63,0,15,0,0,0,26,0,0,0,21,26,0,40,0,0,0,0,0,56,0,43,0,0,14,43,0,0,0,0,0,48,0,0,0,45,0,0,56,0,44,0,39,0,0,0,0,25,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,55,0,0,34,0,70,0,0,35,0,0,0,0,0,53,0,0
ZNF222_M07604_2.00,0,0,0,0,0,0,12,13,0,0,22,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
ZNF274_M07632_2.00,0,38,0,0,0,0,0,14,0,0,0,8,0,0,7,14,12,17,0,18,0,0,0,27,31,0,30,0,0,0,0,0,0,0,0,0,24,0,0,27,0,0,42,0,28,0,0,0,0,0,0,8,0,0,0,0,0,21,0,0,0,40,0,0,0,0,0,0,0,0,0,23,0,0,21,22,35,0,0,0,0,0,0,0,0,0,0,0
GRHL2_MA1105.2,0,16,6,17,0,0,6,7,0,0,2,0,22,0,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,19,0,15,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0,0,16,0,0,0,0,0,0,24,0,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0
ZNF337_M07583_2.00,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,5,0,7,8,10,14,0,0,12,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,17,21,0,0,0,0,0,11,20,0,0,6,0,0,0,0,0,12,0,0
ZNF440_M07628_2.00,0,0,0,0,38,0,0,10,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,31,0,28,0,0,0,0,0,0,0,32,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,4,0
ZSCAN22_M08261_2.00,0,0,45,0,0,0,0,48,0,0,0,0,0,0,26,47,0,114,0,0,0,0,0,87,89,0,79,0,37,0,0,0,0,0,0,0,81,0,0,74,0,0,0,0,93,0,0,0,0,0,0,62,0,0,0,0,0,77,0,0,0,129,0,0,0,0,0,0,0,0,24,90,0,0,58,0,0,0,0,0,0,0,0,0,0,67,35,0
SP4_SP4_HUMAN.H11MO.0.A,0,0,0,0,0,0,0,224,0,0,0,0,0,0,122,123,0,417,0,366,0,0,116,251,280,0,211,0,232,0,0,0,0,0,0,0,255,0,0,237,0,0,296,0,265,0,0,0,0,0,0,265,0,0,0,0,0,227,0,0,0,365,0,0,0,299,0,0,0,0,85,248,0,0,167,298,0,0,0,0,0,0,0,0,0,0,163,0
ZNF621_M08254_2.00,0,0,0,0,80,0,0,0,0,0,0,0,0,0,20,0,0,56,0,0,0,0,0,0,72,0,66,0,27,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,26,0
CTCF_M07862_2.00,0,0,0,0,0,0,0,92,0,0,0,0,0,0,90,89,0,0,0,137,0,0,57,159,151,0,130,0,90,0,0,0,0,0,0,149,140,0,0,142,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,172,0,0,0,0,0,0,0,0,40,129,0,0,109,0,0,0,0,0,0,0,0,0,0,101,74,0
ESR2_MA0258.2,0,0,22,0,44,0,0,0,0,0,22,0,0,0,0,0,0,41,0,0,0,0,0,44,52,38,54,0,15,0,0,0,0,0,0,0,46,0,0,35,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,59,0,0,0,0,0,0,0,0,11,47,0,0,0,25,51,0,0,27,0,0,0,0,0,0,13,0
BC11A_BC11A_HUMAN.H11MO.0.A,0,0,0,0,0,0,0,59,0,0,0,0,0,0,29,70,0,104,0,0,0,0,12,118,101,0,102,0,0,0,0,0,0,0,0,0,114,0,0,102,0,0,130,0,113,0,0,0,0,0,0,89,0,0,0,0,0,91,0,0,0,144,0,0,0,0,0,0,0,0,23,109,0,0,77,0,0,0,0,0,0,0,0,0,0,0,30,0
CTCF_M07863_2.00,0,0,0,0,0,0,0,52,0,0,0,63,0,0,41,51,0,0,0,80,0,0,29,85,87,0,79,0,55,0,0,0,0,0,0,0,82,0,0,81,0,0,0,0,85,0,0,0,0,0,0,0,0,109,0,0,0,86,0,0,0,102,0,0,0,59,0,0,0,0,24,78,0,0,57,58,0,0,0,0,0,0,0,0,0,0,36,0
STAT1_M08230_2.00,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,6,2,0,3,0,0,0,0,0,0,0,0,4,4,0,13,3,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,9,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,8,10,0,0
ZBT18_ZBT18_HUMAN.H11MO.0.C,0,0,0,0,0,0,0,18,0,0,24,21,0,0,8,16,26,0,0,15,0,0,0,25,34,25,39,0,0,0,0,0,0,0,0,0,27,0,0,32,0,0,0,0,34,0,0,0,0,0,0,14,0,0,0,0,0,21,0,0,0,45,0,0,0,0,0,0,0,0,0,38,0,0,14,0,0,0,0,16,0,0,0,0,0,0,0,31
ZNF263_M08082_2.00,0,0,0,0,0,0,0,129,0,0,0,0,0,0,78,118,0,0,0,0,0,0,0,208,208,0,228,0,111,0,0,0,0,0,0,0,189,0,0,162,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,298,0,0,0,0,0,0,0,0,46,190,0,0,147,0,0,0,0,0,0,0,0,0,0,0,78,0
ZFP64_M08275_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,64,0,144,0,91,0,0,0,95,116,0,86,0,75,0,0,0,0,0,0,0,102,0,0,105,0,0,79,0,101,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,135,0,0,0,0,0,0,0,0,34,109,0,0,77,0,0,0,0,0,0,0,0,0,0,0,50,0
ZN329_ZN329_HUMAN.H11MO.0.C,47,0,24,0,67,0,0,0,0,0,0,0,0,0,21,0,0,55,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,36,66,0,0,0,0,0,0,0,0,0,8,0
USF2_M07787_2.00,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,12,17,17,0,0,0,0,2,15,21,0,20,0,6,0,0,19,0,0,0,0,21,0,0,16,0,19,0,0,16,0,11,0,0,0,0,0,0,32,23,0,0,8,0,0,0,29,0,27,0,20,0,0,24,0,0,18,0,0,18,18,0,0,0,18,15,0,0,0,0,0,0,0
