,413FM0J_sample001,YA4JE89_sample001,AI8K1H6_sample002,GM30XFD_sample003,YA4JE89_sample002,JD32HPP_sample005,AI8K1H6_sample001,413FM0J_sample002,128T8B4_sample025,UYX1M7A_sample004,2I1Y0Z9_sample001,2I1Y0Z9_sample002,Z9UVZX7_sample001,ZF8WDFS_sample005,0QJ6J2T_sample001,314Z52D_sample001,P7IG2M6_sample001,77SHGAG_sample002,77SHGAG_sample001,3RGFT20_sample004,IYRVLF5_sample001,H84559E_sample004,7F3ZM3T_sample001,F27B011_sample001,C5J912G_sample001,P7IG2M6_sample002,ERUH8Y4_sample001,Q15VFHB_sample002,3WR61X3_sample001,1KEQR84_sample002,91W7C88_sample003,K5LA59U_sample002,JD32HPP_sample003,1KEQR84_sample001,Z9UVZX7_sample004,IYRVLF5_sample002,I9178W9_sample001,GM30XFD_sample002,Z9UVZX7_sample002,5OCQITY_sample001,Q15VFHB_sample001,K5LA59U_sample001,2DZJ8RE_sample002,50RWL61_sample002,O697I0L_sample001,BV5W979_sample001,50RWL61_sample003,BV5W979_sample003,H84559E_sample001,UYX1M7A_sample003,JD32HPP_sample002,LPHTEXM_sample001,C18HPI3_sample003,H84559E_sample003,1KEQR84_sample003,BV5W979_sample002,UYX1M7A_sample005,3CA9B3H_sample001,K5LA59U_sample003,ZF8WDFS_sample007,GM30XFD_sample001,9M7H5EI_sample001,UYX1M7A_sample002,2DZJ8RE_sample001,91W7C88_sample002,Q15VFHB_sample004,128T8B4_sample029,50RWL61_sample001,C18HPI3_sample001,C18HPI3_sample002,BYPLWTE_sample001,IO8L3WL_sample001,JD32HPP_sample004,37F102B_sample001,7UV42I3_sample001,U05HLZY_sample001,37F102B_sample002,3RGFT20_sample001,ZF8WDFS_sample004,LPHTEXM_sample002,91W7C88_sample001,UYX1M7A_sample001,2W5JG33_sample080,91W7C88_sample004,JD32HPP_sample001,U05HLZY_sample002,O3F124I_sample001,BV5W979_sample004
E2F6_M07940_2.00,0,0,0,0,90,0,53,0,0,0,0,33,0,0,0,26,67,0,0,52,0,0,12,73,77,62,73,0,38,0,0,0,0,0,0,0,74,0,0,59,0,0,53,0,70,0,0,0,0,0,0,0,0,101,0,0,0,63,0,0,0,93,0,0,0,38,0,0,0,0,31,97,0,0,46,0,100,0,0,0,0,0,0,0,0,0,25,0
MXI1_M08051_2.00,0,39,16,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,24,0,0,31,0,0,19,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,16,0,0,0,0,0,20,7,0
KLF4_M08243_2.00,0,0,40,0,70,0,36,0,0,0,0,32,0,0,17,26,48,63,0,40,0,0,9,53,45,45,35,0,20,0,0,0,0,0,0,0,49,0,0,49,0,0,51,0,45,0,54,0,0,0,0,41,0,84,0,0,0,35,0,0,75,50,0,54,0,38,0,0,0,0,11,39,0,0,35,40,70,0,0,0,0,0,0,0,0,40,18,0
POU2F2_M07974_2.00,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,24,4,0
CTCF_M07907_2.00,0,0,0,0,0,0,0,53,0,0,0,0,0,0,50,65,0,0,0,82,0,0,29,99,91,0,91,0,50,0,0,0,0,0,0,0,90,0,0,96,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,109,0,0,0,0,0,0,0,0,24,80,0,0,71,0,0,0,0,0,0,0,0,0,0,63,41,0
E2F1_M07938_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,91,0,0,102,0,0,33,66,82,0,58,0,76,0,0,0,0,0,0,0,72,0,0,0,0,0,59,0,67,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,89,0,0,0,70,0,0,0,0,40,70,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0
NR3C1_M07987_2.00,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,0,23,36,0,23,0,0,0,0,0,27,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
ZNF574_MA1982.1,0,0,0,0,62,0,24,22,0,0,0,0,0,0,19,24,26,44,0,0,0,0,5,46,51,0,35,0,0,0,0,0,0,0,0,49,52,0,0,48,0,0,47,0,0,0,34,0,0,0,0,16,0,61,0,0,0,47,0,0,0,64,0,0,0,28,0,0,0,0,0,55,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F1_E2F1_HUMAN.H11MO.0.A,0,0,0,0,0,0,52,48,0,0,0,35,0,0,0,31,0,0,0,61,0,0,16,0,0,0,47,0,47,0,0,0,0,0,0,0,58,0,0,32,0,0,60,0,60,0,0,0,0,0,0,0,0,96,0,0,0,51,0,0,0,65,0,0,0,49,0,0,0,0,19,57,0,0,33,61,96,0,0,0,0,0,0,0,0,0,20,0
RELA_M08004_2.00,0,0,0,0,0,0,19,12,0,0,14,16,0,0,0,0,32,0,0,26,0,0,0,25,0,36,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,13,0,0,0,0,0,22,0,0,0,49,0,0,0,0,0,0,0,0,0,22,0,0,0,24,0,0,0,0,0,0,0,0,0,0,7,0
BCL6_BCL6_HUMAN.H11MO.0.A,0,28,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,16,32,0,0,16,0,0,0,0,0,0,0,0
CTCF_M07900_2.00,0,0,0,0,0,0,0,59,0,0,0,68,0,0,47,55,0,0,0,85,0,0,32,91,94,0,84,0,52,0,0,0,0,0,0,0,98,0,0,88,0,0,0,0,98,0,0,0,0,0,0,0,0,115,0,0,0,91,0,0,0,113,0,0,0,0,0,0,0,0,29,78,0,0,62,0,0,0,0,0,0,0,0,0,0,0,33,0
NR2F2_M08157_2.00,0,0,0,16,0,0,7,13,0,0,0,0,13,0,0,0,0,0,0,0,24,0,0,0,0,7,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,18,0,16,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,24,0,21,0,15,0,0,0,0,0,0,0,0,0,0,28,0,0,5,0,8,0,0,0,0,0,13
